,Comp_Sent,Count,Nege_Sent,Nuet_Sent,Posi_Sent,Time,Tweeter
145,0.539,46,0.0,0.838,0.162,2018-03-22 04:10:11+00:00,@CNNMoney
146,0.0,47,0.0,1.0,0.0,2018-03-22 02:30:16+00:00,@CNNMoney
147,-0.4754,48,0.214,0.786,0.0,2018-03-22 02:19:31+00:00,@CNNMoney
148,0.3182,49,0.0,0.887,0.113,2018-03-22 02:04:04+00:00,@CNNMoney
149,0.32,50,0.058,0.8,0.142,2018-03-22 01:50:55+00:00,@CNNMoney
150,0.0258,51,0.0,0.945,0.055,2018-03-22 01:42:24+00:00,@CNNMoney
151,0.0,52,0.0,1.0,0.0,2018-03-22 01:37:42+00:00,@CNNMoney
152,0.3182,53,0.0,0.887,0.113,2018-03-22 01:35:09+00:00,@CNNMoney
153,-0.0498,54,0.181,0.686,0.133,2018-03-22 01:21:19+00:00,@CNNMoney
154,0.0,55,0.0,1.0,0.0,2018-03-22 01:06:15+00:00,@CNNMoney
155,0.7096,56,0.0,0.753,0.247,2018-03-22 01:00:09+00:00,@CNNMoney
156,0.0,57,0.071,0.859,0.071,2018-03-22 00:44:07+00:00,@CNNMoney
157,0.128,58,0.0,0.923,0.077,2018-03-22 00:30:13+00:00,@CNNMoney
158,0.1779,59,0.0,0.805,0.195,2018-03-22 00:14:02+00:00,@CNNMoney
159,0.0,60,0.0,1.0,0.0,2018-03-22 00:08:58+00:00,@CNNMoney
160,0.7096,61,0.0,0.753,0.247,2018-03-22 00:00:07+00:00,@CNNMoney
161,-0.6124,62,0.294,0.706,0.0,2018-03-21 23:46:04+00:00,@CNNMoney
162,0.128,63,0.0,0.923,0.077,2018-03-21 23:30:04+00:00,@CNNMoney
163,0.6808,64,0.076,0.598,0.326,2018-03-21 23:16:21+00:00,@CNNMoney
164,0.7096,65,0.0,0.753,0.247,2018-03-21 23:00:15+00:00,@CNNMoney
165,0.3612,66,0.0,0.878,0.122,2018-03-21 22:34:05+00:00,@CNNMoney
166,0.0,67,0.0,1.0,0.0,2018-03-21 22:03:06+00:00,@CNNMoney
167,-0.2263,68,0.101,0.899,0.0,2018-03-21 21:45:08+00:00,@CNNMoney
168,0.0,69,0.0,1.0,0.0,2018-03-21 21:15:08+00:00,@CNNMoney
169,0.3034,70,0.0,0.801,0.199,2018-03-21 21:00:13+00:00,@CNNMoney
170,0.128,71,0.0,0.923,0.077,2018-03-21 20:45:07+00:00,@CNNMoney
171,0.0,72,0.0,1.0,0.0,2018-03-21 20:22:16+00:00,@CNNMoney
172,0.0,73,0.0,1.0,0.0,2018-03-21 20:03:37+00:00,@CNNMoney
173,-0.4404,74,0.146,0.854,0.0,2018-03-21 19:48:13+00:00,@CNNMoney
174,-0.1326,75,0.105,0.895,0.0,2018-03-21 19:31:00+00:00,@CNNMoney
175,0.0,76,0.0,1.0,0.0,2018-03-21 19:15:11+00:00,@CNNMoney
176,0.34,77,0.111,0.707,0.182,2018-03-21 19:04:03+00:00,@CNNMoney
177,0.4404,78,0.0,0.791,0.209,2018-03-21 18:40:20+00:00,@CNNMoney
178,0.4588,79,0.0,0.727,0.273,2018-03-21 18:16:02+00:00,@CNNMoney
179,-0.5859,80,0.202,0.798,0.0,2018-03-21 18:10:07+00:00,@CNNMoney
180,0.7003,81,0.0,0.746,0.254,2018-03-21 18:04:49+00:00,@CNNMoney
181,0.4404,82,0.0,0.756,0.244,2018-03-21 18:00:20+00:00,@CNNMoney
182,0.0,83,0.0,1.0,0.0,2018-03-21 17:50:03+00:00,@CNNMoney
183,0.4939,84,0.0,0.802,0.198,2018-03-21 17:37:03+00:00,@CNNMoney
184,0.1779,85,0.0,0.909,0.091,2018-03-21 17:24:39+00:00,@CNNMoney
185,-0.3353,86,0.111,0.889,0.0,2018-03-21 16:39:07+00:00,@CNNMoney
186,0.0,87,0.071,0.859,0.071,2018-03-21 16:31:06+00:00,@CNNMoney
187,0.0,88,0.0,1.0,0.0,2018-03-21 16:22:16+00:00,@CNNMoney
188,0.0,89,0.0,1.0,0.0,2018-03-21 15:53:37+00:00,@CNNMoney
189,-0.5859,90,0.202,0.798,0.0,2018-03-21 15:24:23+00:00,@CNNMoney
190,0.0,91,0.0,1.0,0.0,2018-03-21 14:50:49+00:00,@CNNMoney
191,-0.2732,92,0.116,0.884,0.0,2018-03-21 14:07:19+00:00,@CNNMoney
192,0.4404,93,0.0,0.756,0.244,2018-03-21 13:43:25+00:00,@CNNMoney
193,0.34,94,0.082,0.761,0.158,2018-03-21 13:33:12+00:00,@CNNMoney
194,0.5918,95,0.0,0.756,0.244,2018-03-21 13:25:20+00:00,@CNNMoney
195,0.0,96,0.0,1.0,0.0,2018-03-21 13:08:08+00:00,@CNNMoney
196,0.0,97,0.0,1.0,0.0,2018-03-21 12:59:24+00:00,@CNNMoney
197,-0.3182,98,0.161,0.839,0.0,2018-03-21 10:32:40+00:00,@CNNMoney
198,0.0,99,0.0,1.0,0.0,2018-03-21 09:58:00+00:00,@CNNMoney
199,0.0,100,0.0,1.0,0.0,2018-03-21 09:06:00+00:00,@CNNMoney
